(LF) FUND OF FUNDS+AF8-20250714,Balanced Blend US
(LF) FUND OF FUNDS+AF8-20250714,Equity Blend
(LF) FUND OF FUNDS+AF8-20250714,Global Emerging Markets
(LF) FUND OF FUNDS+AF8-20250714,Global High
(LF) FUND OF FUNDS+AF8-20250714,Global Low
(LF) FUND OF FUNDS+AF8-20250714,Global Megatrends
(LF) FUND OF FUNDS+AF8-20250714,Global Protect 80
(LF) FUND OF FUNDS+AF8-20250714,Global Medium
(LF) FUND OF FUNDS+AF8-20250714,Life Cycle 2032
(LF) FUND OF FUNDS+AF8-20250714,Life Cycle 2037
(LF) FUND OF FUNDS+AF8-20250714,Life Cycle 2042
(LF) FUND OF FUNDS+AF8-20250714,Life Cycle 2047
(LF) FUND OF FUNDS+AF8-20250714,Life Cycle 2052
(LF) FUND OF FUNDS+AF8-20250714,Next Gen Focus
(LF)+AF8-20250722,Equity Global Equities Fund
(LF)+AF8-20250722,Equity Greek Equities Fund
(LF)+AF8-20250722,Flexi Allocation Greece Fund
(LF)+AF8-20250722,Global Bond Fund
(LF)+AF8-20250722,Greek Corporate Bond Fund
(LF)+AF8-20250722,Greek Government Bond Fund
(LF)+AF8-20250722,High Yield A List Fund
(LF)+AF8-20250722,Income Plus Dollar Fund
(LF)+AF8-20250722,Income Plus EUR Fund
(LF)+AF8-20250722,Reserve Fund
(LF)+AF8-20250722,Special Purpose Best Performers VI Fund
(LF)+AF8-20250722,Special Purpose Equity Formula Index I Fund
(LF)+AF8-20250722,Special Purpose Equity Formula Index II Fund
(LF)+AF8-20250722,Special Purpose Equity Formula Index III Fund
(LF)+AF8-20250722,Special Purpose Profit Leaders Fund
(LF)+AF8-20250722,Special Purpose Profit Leaders II Fund
(LF)+AF8-20250722,Target Maturity Bond Fund
(LF)+AF8-20250722,Target Maturity +//3//f/9//0- Bond Fund
(LF)+AF8-20250722,Target Maturity +//3//f/9//0-I Bond Fund
(LF)+AF8-20250722,Target Maturity IV Bond Fund
(LF)+AF8-20250722,Target Maturity V Bond Fund
(LF)+AF8-20250722,Target Maturity VI Bond Fund
(LF)+AF8-20250722,Target Maturity VII Bond Fund
20UGS (UCITS) FUNDS+AF8-20190507,Triton (LF) Greek Equity
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz China A Opportunities
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz China A+AC0-Shares
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz Cyber Security
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz Enhanced Short Term Euro
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz Euro Bond
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz Euroland Equity Growth
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz Europe Equity Growth
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz Europe Equity SRI
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz European Equity Dividend
ALLIANZ GLOBAL INVESTORS FUND+AF8-20240701,Allianz Food Security
